file,group,snr_in,snr_out,ssnr_in,ssnr_out,pesq_nb,pesq_wb,stoi,si_sdr
p225_060_snr+15,mid,14.999988872619594,20.738392003151166,2.305759291271585,8.155655063397537,3.291212558746338,2.6529250144958496,0.9835667958950409,20.70623454651999
p225_159_snr+0,low,1.2931709674044311e-05,11.200785914389886,-4.381784571551951,5.20680960363213,2.6316945552825928,1.9526017904281616,0.7019030121407605,11.65378872428509
p225_208_snr+0,low,1.6635410179024675e-06,12.055361987136674,-5.575375262393212,3.337552852335317,2.417142152786255,1.8167026042938232,0.7687615232216275,13.28000675485046
p225_296_snr+5,mid,5.000011407405464,15.755229336211015,-1.340791503880264,7.469801846932512,2.9736199378967285,1.7685964107513428,0.9297380364354827,15.654146385499851
p225_354_snr-5,low,-4.999995896618359,5.47568018703553,-7.906988178237062,0.5196852247742342,2.356280565261841,1.3915317058563232,0.5191450652965223,5.5810591019599896
p229_024_snr-5,low,-5.000005524400917,-1.342248304590191,-6.2623949497838565,-2.924906248699168,1.560408353805542,1.1443016529083252,0.6934977759912394,7.403764168937428
p229_054_snr+5,low,4.999988129195148,18.55858180883178,-1.0451479608216128,9.829093809841478,3.131122589111328,2.0485212802886963,0.8486330297589785,18.730780440265885
p229_114_snr+0,low,1.219974714803278e-05,11.790687507323064,-4.246378027706953,5.784576925410253,2.5120646953582764,2.013390064239502,0.80166722068053,13.494093508698393
p229_124_snr+15,mid,14.999958532191231,18.42044470498752,2.603613928746837,6.718369859907574,3.4772229194641113,2.5363194942474365,0.7721101891294592,18.444508238229343
p229_265_snr+15,mid,14.999958994550997,23.043714350665404,6.685330440317729,13.031144365240484,4.187607765197754,2.9389078617095947,0.8384972643736496,23.084444822544402
p229_312_snr+0,low,-2.227435501330022e-06,-1.7193830973483983,-3.503061116045332,-1.8207355678803427,2.999701499938965,1.8266148567199707,0.8384732194231178,18.342157435185243
p234_009_snr-5,low,-5.000001758264138,5.07246923044397,-5.899751654681088,1.9845526955474564,2.17817759513855,1.4492682218551636,0.6383476632285889,10.849999185104085
p234_024_snr+15,high,15.000000741524852,22.627655544182453,7.005677802345761,13.94777347676491,3.7708656787872314,3.0357120037078857,0.9074896158044073,22.60536561666803
p234_067_snr+5,mid,5.0000074337620735,17.972887568870604,0.7279595361742375,10.874844673180533,3.7558765411376953,2.7207577228546143,0.9495692048383194,18.486293688655596
p234_068_snr-5,low,-4.999999264628881,3.3169408046969777,-6.862154736918321,0.5648184280216824,1.7711963653564453,1.238891839981079,0.7806782441298933,3.4650828464300782
p234_108_snr+15,high,15.000125624977478,20.56983624446353,7.0485025660351,11.491416439683777,4.242264270782471,3.267202615737915,0.914552507180487,20.568109143921653
p234_135_snr+0,low,8.57895065116332e-06,13.386341368937627,-5.41377169900402,4.827564785566774,2.6171483993530273,1.8964786529541016,0.784370694809911,13.263275327511161
p234_157_snr+0,low,2.19745288105405e-05,11.660703557226661,-5.322531928070812,4.156747749371878,2.495734214782715,1.822369933128357,0.7327023304474466,11.515452815283552
p234_163_snr-5,low,-4.999996253435988,7.499347944446907,-7.541776165511269,1.6726400948633837,1.9512873888015747,1.4427671432495117,0.6650073522963694,8.694977492368162
p234_189_snr+0,low,-4.378093024342113e-06,11.567157924797467,-5.526525224298342,3.958497637835376,2.5649313926696777,1.685868501663208,0.7479475866735025,11.58018380116342
p234_190_snr+15,high,15.000013363715876,18.03691829289604,5.435255719150951,8.877512909132646,3.4223036766052246,2.7380049228668213,0.856154527735628,18.053226853192832
p234_208_snr+15,mid,14.99993484054188,19.885778687787784,5.930946788274566,9.993042698633023,4.140273094177246,3.2449307441711426,0.8895077145593725,19.841440141814587
p234_221_snr+15,mid,14.999969723581632,17.767295988642893,7.104202580291771,9.908726482657151,3.628007411956787,2.8439834117889404,0.8706768185127457,17.88202790832506
p234_267_snr-5,low,-4.999986879879226,12.183637843020406,-6.950532603011543,3.712413752081157,3.075544595718384,2.1805617809295654,0.5863208811498402,14.087128762771101
p234_275_snr+5,low,4.999985543405843,18.694454329689563,-0.6509934167904631,9.338122986601313,3.8299026489257812,2.459643602371216,0.8775544738816352,18.93997874994217
