file,group,snr_in,snr_out,ssnr_in,ssnr_out,pesq_nb,pesq_wb,stoi,si_sdr
p225_001_snr-5,low,-5.0000009348533645,9.964220470739757,-7.055531034101945,2.911909453344039,2.043154001235962,1.506744384765625,0.831460028040891,11.064809064102866
p225_002_snr+10,mid,10.000013480737524,22.01266252270259,-0.1511851152122812,9.769017436329907,3.879103899002075,3.1751420497894287,0.9852377320339262,22.151314808570483
p225_003_snr+15,mid,14.999995898729741,20.677438027851295,3.064343702953629,9.131225324889016,3.5355615615844727,2.85652756690979,0.9544195743472083,20.9437500486016
p225_004_snr+0,low,1.3397087508730187e-05,12.071601012708381,-5.237135126806405,4.638771330931187,2.6856837272644043,1.948169469833374,0.9077293566604503,16.01447707320241
p225_005_snr+0,low,4.7664008538160055e-06,12.324770175195379,-4.446884488942834,5.23312389487884,2.381291389465332,1.7810297012329102,0.8687782024195582,12.302964444854585
p225_006_snr+10,mid,10.000005160396167,21.688677151120388,2.8187235658415504,10.65315430739005,3.7147583961486816,2.921279191970825,0.9309910860702422,21.748537083248387
p225_007_snr+15,high,15.000057763030386,23.330816855818295,4.587224375226913,12.079737990067853,3.6781697273254395,2.882709264755249,0.9114769565278408,23.463939090700205
p225_008_snr+10,mid,9.999980515014666,18.456861861853447,2.120994100920986,9.773422776341052,3.100969076156616,1.9644567966461182,0.9450175867447818,18.39901924054661
p225_009_snr+10,mid,9.999998814456168,21.662774532835854,0.9503522297442774,11.258843845162199,4.084467887878418,3.0667765140533447,0.9940589192633645,25.259180889921936
p225_010_snr-5,low,-4.999995765002586,6.868026590948797,-7.0226430064645795,-0.8158378803382917,1.5472192764282227,1.4745161533355713,0.8692468512478463,9.395345961831168
p225_011_snr+0,low,-4.499094517316603e-06,21.29045141902489,-3.4496991226991995,12.035657882943688,3.6513147354125977,2.623746633529663,0.978237963290609,22.549783908545535
p225_012_snr+5,low,4.999994471465677,20.700231617290342,-3.196600171016834,7.633813123287939,3.8931431770324707,2.9535293579101562,0.8828219089170254,22.331924435077518
